ID,NAME,COUNTRY,Full name,Born,Died,Current age,Major teams,Education,Height,Nickname,Playing role,Batting style,Bowling style,Other,Relation,In a nutshell,DESCRIPTION,AWARDS,BATTING_Tests_Mat,BATTING_Tests_Inns,BATTING_Tests_NO,BATTING_Tests_Runs,BATTING_Tests_HS,BATTING_Tests_Ave,BATTING_Tests_BF,BATTING_Tests_SR,BATTING_Tests_100,BATTING_Tests_50,BATTING_Tests_4s,BATTING_Tests_6s,BATTING_Tests_Ct,BATTING_Tests_St,BATTING_ODIs_Mat,BATTING_ODIs_Inns,BATTING_ODIs_NO,BATTING_ODIs_Runs,BATTING_ODIs_HS,BATTING_ODIs_Ave,BATTING_ODIs_BF,BATTING_ODIs_SR,BATTING_ODIs_100,BATTING_ODIs_50,BATTING_ODIs_4s,BATTING_ODIs_6s,BATTING_ODIs_Ct,BATTING_ODIs_St,BATTING_T20Is_Mat,BATTING_T20Is_Inns,BATTING_T20Is_NO,BATTING_T20Is_Runs,BATTING_T20Is_HS,BATTING_T20Is_Ave,BATTING_T20Is_BF,BATTING_T20Is_SR,BATTING_T20Is_100,BATTING_T20Is_50,BATTING_T20Is_4s,BATTING_T20Is_6s,BATTING_T20Is_Ct,BATTING_T20Is_St,BATTING_First-class_Mat,BATTING_First-class_Inns,BATTING_First-class_NO,BATTING_First-class_Runs,BATTING_First-class_HS,BATTING_First-class_Ave,BATTING_First-class_BF,BATTING_First-class_SR,BATTING_First-class_100,BATTING_First-class_50,BATTING_First-class_4s,BATTING_First-class_6s,BATTING_First-class_Ct,BATTING_First-class_St,BATTING_List A_Mat,BATTING_List A_Inns,BATTING_List A_NO,BATTING_List A_Runs,BATTING_List A_HS,BATTING_List A_Ave,BATTING_List A_BF,BATTING_List A_SR,BATTING_List A_100,BATTING_List A_50,BATTING_List A_4s,BATTING_List A_6s,BATTING_List A_Ct,BATTING_List A_St,BATTING_T20s_Mat,BATTING_T20s_Inns,BATTING_T20s_NO,BATTING_T20s_Runs,BATTING_T20s_HS,BATTING_T20s_Ave,BATTING_T20s_BF,BATTING_T20s_SR,BATTING_T20s_100,BATTING_T20s_50,BATTING_T20s_4s,BATTING_T20s_6s,BATTING_T20s_Ct,BATTING_T20s_St,BOWLING_Tests_Mat,BOWLING_Tests_Inns,BOWLING_Tests_Balls,BOWLING_Tests_Runs,BOWLING_Tests_Wkts,BOWLING_Tests_BBI,BOWLING_Tests_BBM,BOWLING_Tests_Ave,BOWLING_Tests_Econ,BOWLING_Tests_SR,BOWLING_Tests_4w,BOWLING_Tests_5w,BOWLING_Tests_10,BOWLING_ODIs_Mat,BOWLING_ODIs_Inns,BOWLING_ODIs_Balls,BOWLING_ODIs_Runs,BOWLING_ODIs_Wkts,BOWLING_ODIs_BBI,BOWLING_ODIs_BBM,BOWLING_ODIs_Ave,BOWLING_ODIs_Econ,BOWLING_ODIs_SR,BOWLING_ODIs_4w,BOWLING_ODIs_5w,BOWLING_ODIs_10,BOWLING_T20Is_Mat,BOWLING_T20Is_Inns,BOWLING_T20Is_Balls,BOWLING_T20Is_Runs,BOWLING_T20Is_Wkts,BOWLING_T20Is_BBI,BOWLING_T20Is_BBM,BOWLING_T20Is_Ave,BOWLING_T20Is_Econ,BOWLING_T20Is_SR,BOWLING_T20Is_4w,BOWLING_T20Is_5w,BOWLING_T20Is_10,BOWLING_First-class_Mat,BOWLING_First-class_Inns,BOWLING_First-class_Balls,BOWLING_First-class_Runs,BOWLING_First-class_Wkts,BOWLING_First-class_BBI,BOWLING_First-class_BBM,BOWLING_First-class_Ave,BOWLING_First-class_Econ,BOWLING_First-class_SR,BOWLING_First-class_4w,BOWLING_First-class_5w,BOWLING_First-class_10,BOWLING_List A_Mat,BOWLING_List A_Inns,BOWLING_List A_Balls,BOWLING_List A_Runs,BOWLING_List A_Wkts,BOWLING_List A_BBI,BOWLING_List A_BBM,BOWLING_List A_Ave,BOWLING_List A_Econ,BOWLING_List A_SR,BOWLING_List A_4w,BOWLING_List A_5w,BOWLING_List A_10,BOWLING_T20s_Mat,BOWLING_T20s_Inns,BOWLING_T20s_Balls,BOWLING_T20s_Runs,BOWLING_T20s_Wkts,BOWLING_T20s_BBI,BOWLING_T20s_BBM,BOWLING_T20s_Ave,BOWLING_T20s_Econ,BOWLING_T20s_SR,BOWLING_T20s_4w,BOWLING_T20s_5w,BOWLING_T20s_10,is_test_ar,is_odi_ar,is_t20_ar,is_allrounder
24990,Bas Zuiderent,Netherlands,Bastiaan Zuiderent,"
March 3, 1977, Utrecht ",,42 years 20 days,"['Netherlands,', 'Sussex,', 'VOC,', 'VRA Cricket']",,,,Middle-order batsman,Right-hand bat,Right-arm medium,,,,"['\nOne of the most technically-able Dutch batsmen of his generation, Bas Zuiderent first came to prominence at the 1996 World Cup by scoring 54 against England as an 18 year old. He has gone on to feature in every World Cup game that his country has played, one of only two players to have done so. He signed for Sussex in 1999, spending 5 years there and was part of the squad that lifted the County Championship in 2003. \n', ""Zuiderent didn't play a great deal of international cricket in that period, and after a disappointing run at the 2003 World Cup it appeared that he might never build on the potential he showed in his youth. But with increasing age he has matured into a very steady middle-order batsman, and his unbeaten 116 against the United Arab Emirates in the 2005 ICC Trophy secured World Cup qualification for Netherlands as they scraped through in 5th place. He was the tournament's leading scorer that year with 474 runs and, in the World Cricket League in Kenya in 2007, he averaged 50.25 as the Netherlands continued their improvement to finish third."", ""Zuiderent was part of the side that shocked England at the World Twenty20 opener in 2009 and now, in his 30s, he is a permanent fixture in Netherlands' middle order and is set to compete in his fourth World Cup in 2011.\n"", ' ']",[],0.0,,,0.0,,17.69,,,,,,,,,57.0,56,10,1097.0,77*,23.84,1873,58.56,0,8,92,9,26.0,0.0,6.0,6,1,108.0,43*,21.60,124,87.09,0,0,8,1,2.0,0.0,31.0,50,4,1328,149*,28.86,,,2,9,,,23.0,0.0,138.0,133,19,3272,119,28.70,,,4,19,,,51.0,0.0,12.0,12,1,242,43*,22.00,232,104.31,0,0,22,5,4.0,0.0,0.0,,,,0.0,,,35.33,,,,,,57.0,-,-,-,0.0,-,-,32.91,-,-,-,-,-,6.0,-,-,-,0.0,-,-,-,7.05,-,-,-,-,31.0,-,-,-,-,-,-,-,-,-,-,-,-,138.0,,12,15,0,-,-,-,7.50,-,0,0,0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,False,False,False,False
51050,Nuwan Zoysa,Sri Lanka,Demuni Nuwan Tharanga Zoysa,"
May 13, 1978, Colombo ",,40 years 314 days,"['Sri Lanka,', 'Basnahira South,', 'Deccan Chargers,', 'Khulna Division,', 'Sinhalese Sports Club']",,,,,Left-hand bat,Left-arm fast-medium,,,,"['\nA left-arm seam bowler with a loping, rhythmical run-up and action, Zoysa has shown plenty of promise, but his career has so far been plagued by injuries. He was discarded after a disappointing tour to England in 2002, but he trained hard and regained pace, nip and bounce off the pitch. Most importantly, though, he returned with the delivery that moves back into the right-hander, a weapon that makes him a far more potent force. \n', ""A natural striker of the ball, he's also emerged as a useful lower-order strokeplayer. During the A tour to Kenya in 2003, he was even employed as a pinch-hitter to good effect, and, making his comeback to international cricket in the one-day series against Australia in 2003-04, Zoysa further underscored his batting potential with a matchwinning unbeaten 47 in the final match."", 'His bowling continued on its upward curve, culminating in a damaging five-wicket haul against South Africa in the one-day series in 2004-05. First spotted by Arjuna Ranatunga, who encouraged him to join the SSC in Colombo, he made his debut during the 1996-97 tour of New Zealand. In only his eighth Test, Zoysa achieved the rare feat of claiming a hat-trick off his first over of the match, against Zimbabwe at Harare in 1999-2000. His victims were accomplished top-order batsmen too - Trevor Gripper, Murray Goodwin and Neil Johnson.\n', ' (September 2004)']",[],30.0,40,6,288.0,28*,8.47,695,41.43,0,0,31,5,4.0,0.0,95.0,47,21,343.0,47*,13.19,358,95.81,0,0,29,7,13.0,0.0,0.0,,,0.0,,,,86.9,,,,,,,118.0,142,25,2065,114,17.64,,,1,8,,,20.0,0.0,187.0,108,27,1320,53,16.29,,,0,3,,,26.0,0.0,17.0,14,4,203,41,20.30,172,118.02,0,0,27,3,1.0,0.0,30.0,51,4422,2157,64.0,5/20,8/73,33.7,2.92,69.0,2,1,0,95.0,93,4259,3213,108.0,5/26,5/26,29.75,4.52,39.4,2,1,0,0.0,,,,0.0,,,,7.05,,,,,118.0,,14905,7155,301,7/58,,23.77,2.88,49.5,,7,0,187.0,,8419,6105,242,6/14,6/14,25.22,4.35,34.7,2,2,0,17.0,16,324,376,21,4/10,4/10,17.90,6.96,15.4,2,0,0,False,False,False,False
55015,Zehmarad Afzal,Pakistan,Zehmarad Afzal,"
October 24, 1977, Bahawalpur, Punjab ",,41 years 150 days,"['Cheshire Women,', 'Pakistan Women,', 'Warwickshire Women']",,,,,Right-hand bat,Right-arm medium-fast,,,,"[""\nZehmarad Afzal plays cricket for Islamabad and Pakistan, but has also plied her trade in England. She has represented for Warwickshire for five years, Cheshire for three years and will play for Northamptonshire in this year's county championship. "", ' May 2007 \n']",[],1.0,2,0,45.0,25,22.5,178,25.28,0,0,,,0.0,0.0,23.0,23,0,332.0,34,14.43,,,0,0,,,2.0,0.0,0.0,,,0.0,,,,86.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-,-,-,0.0,-,-,35.33,-,-,-,-,-,23.0,7,174,133,2.0,1/22,1/22,66.5,4.58,87.0,0,0,0,0.0,,,,0.0,,,,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
43695,Zaheer Abbas,Pakistan,Syed Zaheer Abbas Kirmani,"
July 24, 1947, Sialkot, Punjab ",,71 years 242 days,"['Pakistan,', 'Dawood Club,', 'Gloucestershire,', 'Karachi,', 'Pakistan International Airlines,', 'Public Works Department,', 'Sind']",,,,,Right-hand bat,Right-arm offbreak,Referee,,,"['\nZaheer Abbas was a stylish, elegant batsman. In full flow, he was a sight for sore eyes. His avarice for runs matched that of the Australian legend, and that was why he was dubbed the Asian Bradman. High praise indeed for there have been many greats but none matches the aura of the Don.  \n', ""There was not a touch of arrogance about Zaheer's batting but of lyrical, fluent movement, his innings memorable for a refined, effortless beauty. His strength was precision and timing. He had the ability to go on back and front foot with equal facility, on occasions moving from backward to forward or vice versa during the course of one stroke and yet send the ball crashing to the fence. A high back-lift gave him a touch of elegance, and combined with powerful and supple wrists guiding the ball into the gaps on both sides of the wicket, he scored a very high proportion of his runs in boundaries. When the going was good, he seemed like a maestro at work, his artistry, his elegance leaving connoisseurs awestruck. "", ""Zaheer's first big score came in England, a double hundred, 274 to be precise, at Edgbaston in only his second Test. With that innings, not only did he prove the pundits wrong, who thought that his technique and high backlift would make him highly suspect against the seaming ball, it also heralded the arrival of a new international star. Such was his mastery, so profound his concentration that he never seemed like getting out. He may have gone on and on, when sheer exhaustion got him; by the time he got out he had batted for nine hours and 10 minutes."", 'Many counties lined up to recruit this lean and bespectacled youth, but he opted for Gloucestershire, a less fashionable choice but one which he did not regret. He never switched to another county, playing for Gloucester right to the end, making runs year on year in a huge pile, well in excess of 1,000 almost every season, 2,544 in one glorious Indian summer of 1976 and another 2305 in 1981. ', 'Having already scored another double hundred (240) in the Oval Test in 1974 and some big scores on the Australian tour of 1976-77 including 101 at Adelaide, he was signed up by the Kerry Packer circus, which resulted in his missing two rubbers against England. When the Packer bunch was welcomed back to the fold for the Indian series, the first between the two in 18 years, Zaheer was at his majestic best, putting to sword the feared Indian spin quartet to notch scores of 176, 96 and 235 in successive innings. His tally of 583 runs in a short rubber was then a world record. ', 'The only Asian to have made a century of centuries in first class cricket to date, he really had a Bradmanesque appetite for runs. Nothing reflects this better than his making a century in each innings on eight occasions in a first class match, a world record. All the more amazing is the fact that in four out of these eight, he made a double hundred and a hundred. His 100th hundred, predictably, a double hundred (215) against India in the 1982-83 Lahore Test was followed by two more Test hundreds in that series. ', 'That was the last of his great series, and though he got the captaincy, which he so desired when Imran Khan got his famous shin injury, he only played one major innings, an unbeaten 168, again at Lahore, again against India. Never really comfortable against genuine pace, but then nobody really is, by then age was catching up fast and his reflexes had deteriorated a great deal. ', 'For one who was the epitome of grace in batting, his exit was rather unseemly as he opted out of the last Test of his career at Karachi in 1985-86 against Sri Lanka, not allowing himself a proper farewell. Zaheer blamed it on senior players, on Imran Khan in an indirect way. But perhaps he did so in a fit of pique, because having announced his retirement from Test cricket, he still wanted to remain active in the one-day version of the game. And the selectors, certainly with Imran prompting them, would have none of it. Whatever the reason, none would dispute that Zaheer deserved a better send off than he got.\n']",['Wisden Cricketer of the Year 1972'],78.0,124,11,5062.0,274,44.79,,,12,20,,22,34.0,0.0,62.0,60,6,2572.0,123,47.62,3033,84.80,7,13,,,16.0,0.0,0.0,,,0.0,,,,86.9,,,,,,,459.0,768,92,34843,274,51.54,,,108,158,,,278.0,0.0,323.0,309,33,11240,158*,40.72,,,19,72,,,78.0,0.0,,,,,,,,,,,,,,,78.0,14,370,132,3.0,2/21,2/26,44.0,2.14,123.3,0,0,0,62.0,12,280,223,7.0,2/26,2/26,31.85,4.77,40.0,0,0,0,0.0,,,,0.0,,,,7.05,,,,,459.0,,2582,1146,30,5/15,,38.20,2.66,86.0,,1,0,323.0,,828,689,16,3/48,3/48,43.06,4.99,51.7,0,0,0,,,,,,,,,,,,,,False,False,False,False
17121,Alan Mullally,England,Alan David Mullally,"
July 12, 1969, Southend-on-Sea, Essex ",,49 years 254 days,"['England,', 'Hampshire,', 'Leicestershire,', 'Victoria,', 'Western Australia']",,,,,Right-hand bat,Left-arm fast-medium,,,,"[""\nWith a bounding, rhythmic approach to the wicket and the ability to nip the ball back into the right-hander, Mullally is England's leading left-arm seamer. But he's tidy rather than terrifying, and an up-and-down Test career in which he often sprayed the new ball out of the openers' reach is now second on his CV behind his one-day achievements, where his outstanding economy rate helped him at one stage up to No. 2 in the world. Born in Southend, but bred in Western Australia, Mullally began with WA, had brief spells with Hampshire and Victoria, before moving to Leicestershire. A winter in the gym in 1998-99 gave his bowling extra edge and movement, and he returned to Hampshire (he loves the sea) to team up with Shane Warne in 2000. They took wickets - but no-one else did. Mullally's batting is a joke, although the 16 he made against a fired-up Glenn McGrath in Melbourne in 1998-99 proved decisive - England won by 12 runs. In the last couple of seasons Hampshire's youth policy and a run of injuries have limited Mullally's chances and at the end of the 2005 season he announced his retirement.\n"", ' \n']",[],19.0,27,4,127.0,24,5.52,307,41.36,0,0,18,2,6.0,0.0,50.0,25,10,86.0,20,5.73,238,36.13,0,0,10,1,8.0,0.0,0.0,,,0.0,,,,86.9,,,,,,,230.0,258,70,1615,75,8.59,,,0,2,,,44.0,0.0,307.0,136,58,547,38,7.01,,,0,0,,,44.0,0.0,6.0,3,0,0,0,0.00,5,0.00,0,0,0,0,1.0,0.0,19.0,34,4525,1812,58.0,5/105,5/84,31.24,2.40,78.0,0,1,0,50.0,49,2699,1728,63.0,4/18,4/18,27.42,3.84,42.8,2,0,0,0.0,,,,0.0,,,,7.05,,,,,230.0,,43645,19953,708,9/93,,28.18,2.74,61.6,,31,4,307.0,,15301,10012,362,6/38,6/38,27.65,3.92,42.2,5,3,0,6.0,6,102,123,2,1/16,1/16,61.50,7.23,51.0,0,0,0,False,False,False,False
24598,Eoin Morgan,England,Eoin Joseph Gerard Morgan,"
September 10, 1986, Dublin ",,32 years 194 days,"['England,', 'Ireland,', 'Bangalore Royal Challengers,', 'Barbados Tridents,', 'England A,', 'Ireland A,', 'Ireland Under-19s,', 'Karachi Kings,', 'Kings XI Punjab,', 'Kolkata Knight Riders,', 'Middlesex,', 'Middlesex 2nd XI,', 'Peshawar Zalmi,', ""Sir Paul Getty's XI,"", 'Sunrisers Hyderabad,', 'Sydney Thunder']",Catholic University School,"
5 ft 9 in ",,Middle-order batsman,Left-hand bat,Right-arm medium,,,,"[""\nEoin Morgan became England's ODI captain in slightly chaotic circumstances less than two months before the 2015 World Cup and was less than enamoured with an entirely inadequate campaign. What he observed - not just from his own side's lacklustre display, but the inspiration provided by Brendon McCullum's New Zealand side - convinced him an entirely new approach was necessary in England's cricket with a policy of No Fear (and No Retribution) at its heart. It required a man of strong will not just to say it, but to implement it, but Morgan did so, seeking to fashion a side that would play with courage and be impervious to pressure or criticism. \n"", 'The revival he led was dramatic. Going into the 2019 World Cup year, England were rated not only the No. 1 ODI side but had set a host of new records, including the two highest scores made in the format. Morgan, relentlessly committed to this bold style of play on good days and bad, was at the heart of the transformation.', ""Morgan's self-sufficiency and independent thought has caused him to tread a path that has not always been popular with English administrators. He preferred the IPL to county cricket long before it was ECB policy. Although he strove for a while to play for England in all three formats, he played the last of his 16 Tests in 2012 and his interest in the longer format appeared to wane once he recognised he had little chance of a recall. He didn't play any first-class cricket in 2016 or 2017 and averaged 11 when he returned for half-a-dozen games in 2018. A somewhat private man, he is respected by his players for his inner strength, cool temperament and tactical nous but remains largely a closed book to those outside the dressing room."", 'Once the selectors had decided to dispense with Alastair Cook just before Christmas in 2014, Morgan, the regular ODI deputy, was the most obvious candidate.  But his elevation coincided with one of his worst periods of form since switching to England from Ireland. A left-hander who quickly built a reputation for inventive and audacious strokeplay, Morgan also possessed the patience and power of shot to be a natural ""finisher"" - a role England had struggled to fill for a decade. In some ways, he was a prototype, encouraging the English game to adopt a more inventive approach only subsequently to face up to the challenge that he might be overtaken by more highly-powered models.', 'As a young man in Dublin, Morgan was recognised as a cricketer of rare unorthodox talent, who plays the ball exceptionally late and was adroit both at sweeping and reverse sweeping. Time at Dulwich College only hardened his desire to play for England, which he never tried to hide back in Ireland.', ""Morgan made his Ireland debut at the age of 16, making 99 against Scotland in Ayr, and was soon signed by Middlesex, who gave him his debut a week after his 19th birthday. He floundered in the 2007 World Cup: batting at No. 3, he made only 91 runs in nine games. But he soon established himself in the Middlesex line up, especially in limited overs cricket, and his switch to England was long anticipated. After securing Ireland's qualification for the 2011 World Cup, in April 2009, he was called up by England, thereby denying Ireland the chances to pick him in the World T20 and beyond."", ""At the age of 23, he shot to prominence on the back of two match-winning innings against South Africa. First was a 34-ball 67 in the Champions Trophy in September 2009, followed two months later with an unbeaten 45-ball 85 in the opening Twenty20 of England's tour of South Africa. His bold approach and crisp hitting evoked comparisons with Kevin Pietersen."", 'His growing stature was confirmed when he was the only England player to be awarded a new contract at the auction for the third season of the IPL in January 2010. He was signed for $220,000 by Bangalore, where he joined England team-mate Pietersen. But he failed to make an impression and was soon left on the bench. He returned to his best for England in the World Twenty20 in the Caribbean as his powerful shot-making and coolness under pressure helped England to their first triumph in global limited-overs events. With three ODI hundreds that year, his first for England coming against Bangladesh in Dhaka, his reputation was soaring.', ""Despite a modest first-class record he was rewarded with a surprise call-up to the Test side for England's first Test of the 2010 summer, against Bangladesh. Walking out to bat at 258 for 4, he could not have asked for a gentler introduction and showed enough confidence to pick up his first Test boundary with a reverse-sweep. With the retirement of Paul Collingwood, a permanent space opened up in England's Test side. Centuries against Pakistan (2010) and India (2011) represented the high points."", 'But a disastrous tour of the UAE in early 2012 effectively ended his Test career. With Joe Root making his debut before the end of the year, he never returned to the Test side.', ""He remained an indispensable member of the one-day side, though. And while there were prolonged fallow periods - from September 2012, for example, he went a year and 17 innings without an ODI half-century and, by the time he was appointed captain, he had scored one fifty in 19 innings - he produced enough outstanding innings (not least a match-defining century against Ireland) to retain his place. Going into the 2019 World Cup, he was England's record run-scorer in ODIs."", 'While his captaincy record at domestic level was not inspiring - Middlesex won five out of 22 limited-overs matches under him in 2014 - and the 2015 World Cup campaign was painfully poor, progress was fast once England embraced a new coaching regime (Peter Moores was sacked in May 2015) and bolder selections. A watershed series against New Zealand saw England, so hesitant and mediocre at the World Cup, pass 350 three times in 10 days in registering their highest ever ODI total (408-9; subsequently overtaken) and their highest ever second-innings total (365-9; also subsequently overtaken). A new template had been set.', ""Such was Morgan's statute within the side, he survived his decision to skip the Bangladesh tour in 2016 on security grounds - the players had been given a choice whether to tour, though the impression remained the management had rather hoped the captain would lead the way - and oversaw a spell of 12 bi-lateral series wins out of 13, including nine in a row broken only by an aberrational defeat against Scotland. If highlights were a 4-1 victory in Australia in early 2018 and a 5-0 whitewash at home later in the year, it was all a prelude to the 2019 World Cup which will surely define both his and his side's legacy.\n"", '\n', '\n']","['NBC Denis Compton Award 2003, 2004']",16.0,24,1,700.0,130,30.43,1278,54.77,2,3,77,6,11.0,0.0,217.0,203,29,6813.0,124*,39.15,7592,89.73,12,43,575,182,77.0,0.0,80.0,78,15,1753.0,85*,27.82,1347,130.14,0,9,131,78,35.0,0.0,99.0,164,16,4912,209*,33.18,9649,50.90,11,23,,,75.0,1.0,345.0,319,44,10667,161,38.78,11850,90.01,20,64,,,116.0,0.0,267.0,253,34,5595,90,25.54,4378,127.79,0,28,436,238,126.0,0.0,16.0,-,-,-,0.0,-,-,35.33,-,-,-,-,-,217.0,-,-,-,0.0,-,-,32.91,-,-,-,-,-,80.0,-,-,-,0.0,-,-,-,7.05,-,-,-,-,99.0,,102,90,2,2/24,2/24,45.00,5.29,51.0,0,0,0,345.0,,42,49,0,-,-,-,7.00,-,0,0,0,267.0,-,-,-,-,-,-,-,-,-,-,-,-,False,False,False,False
53904,Beth Morgan,England,Beth Louisa Morgan,"
September 27, 1981, Harrow, Middlesex ",,37 years 177 days,"['England Under-23 Women,', 'England Women,', 'Middlesex Women']",,,,,Right-hand bat,Right-arm medium-fast,,Uncle - ,,[],[],7.0,12,2,244.0,58,24.4,1140,21.40,0,1,29,0,1.0,0.0,72.0,50,6,590.0,77,13.4,1096,53.83,0,1,49,1,26.0,0.0,28.0,22,2,300.0,46*,15.00,307,97.71,0,0,22,1,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,14,1025,374,6.0,1/17,2/38,62.33,2.18,170.8,0,0,0,72.0,40,1360,960,27.0,3/19,3/19,35.55,4.23,50.3,0,0,0,28.0,6,82,104,5.0,2/8,2/8,20.80,7.6,16.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
17025,Geoff Miller,England,Geoffrey Miller,"
September 8, 1952, Chesterfield, Derbyshire ",,66 years 196 days,"['England,', 'Cheshire,', 'Derbyshire,', 'Essex,', 'Natal']",Chesterfield Grammar School,"
6 ft 2 in ",,,Right-hand bat,Right-arm offbreak,Selector,,,"[""\nAs an allrounder Geoff Miller was essentially reliable rather than matchwinning, but his batting was sufficiently better than that of rival offspinners John Emburey and Eddie Hemmings to earn him 34 Test caps. In his most successful series, against a Packer-weakened Australia in 1978-79, he topped the bowling averages with 23 wickets at 15.04. Unaccountably for such a correct batsman, he needed 380 innings to compile a maiden first-class hundred, though before that he had twice scored 98 for England, one of them not out. A droll character, he was much in demand in retirement as an after-dinner speaker, and joined the England selection panel in 2000. Eight years later, he usurped David Graveney as England's National Selector - a post Graveney had held for eleven years."", ' January 2008 \n']",['Awarded the OBE on 31st December 2013'],34.0,51,4,1213.0,98*,25.8,3416,35.50,0,7,119,0,17.0,0.0,25.0,18,2,136.0,46,8.5,265,51.32,0,0,12,0,4.0,0.0,0.0,,,0.0,,,,86.9,,,,,,,383.0,548,94,12027,130,26.49,,,2,72,,,309.0,0.0,334.0,267,57,4234,88*,20.16,,,0,17,,,110.0,0.0,,,,,,,,,,,,,,,34.0,50,5149,1859,60.0,5/44,6/57,30.98,2.16,85.8,1,1,0,25.0,24,1268,813,25.0,3/27,3/27,32.52,3.84,50.7,0,0,0,0.0,,,,0.0,,,,7.05,,,,,383.0,,59221,24854,888,8/70,,27.98,2.51,66.6,,39,7,334.0,,13389,8186,278,4/22,4/22,29.44,3.66,48.1,4,0,0,,,,,,,,,,,,,,False,False,False,False
53817,Sue Metcalfe,England,Susan Jacqueline Metcalfe,"
May 25, 1965, Kilnsey, Yorkshire ",,53 years 302 days,"['England Women,', 'Yorkshire Women']",,,,,Right-hand bat,Right-arm fast-medium,,,,[],[],13.0,17,2,365.0,66,24.33,,,0,2,,,2.0,0.0,36.0,28,6,534.0,51*,24.27,,,0,1,,,8.0,0.0,0.0,,,0.0,,,,86.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,6,450,213,3.0,1/20,2/50,71.0,2.84,150.0,0,0,0,36.0,1,36,24,0.0,-,-,32.91,4.00,-,0,0,0,0.0,,,,0.0,,,,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
8468,Tim Zoehrer,Australia,Timothy Joseph Zoehrer,"
September 25, 1961, Armadale, Perth, Western Australia ",,57 years 179 days,"['Australia,', 'Western Australia']",,,,,Right-hand bat,Legbreak googly,,,,"[""\nAn efficient livewire behind the stumps, a capable late middle-order batsman, a surprisingly competent lespinner, and a perennial understudy, Tim Zoehrer first played for Western Australia in 1980-81 aged 19, but for several seasons thereafter was kept on the sidelines by WA's No. 1, Rod Marsh. He took the opportunities that came his way, scoring 104 against New South Wales in 1982-83, and when Marsh retired he was the automatic choice. He was picked for Australia's tour of New Zealand in 1986-87 and was expected to hold down the Test role for some time. But he had the misfortune of being part of a side in transition and that, allied to his sometimes explosive personality, led to his being replaced by Greg Dyer, briefly, and then Ian Healy. From then on Zoehrer's role was as Healy's understudy. He toured England in 1989 and 1993 - when he finished second to Shane Warne in the first-class bowling averages with 12 wickets at 20.83 - and made his final international appearance in a World Series match in 1993-94, a one-off after almost seven years out of the side.  The impression that he was destined to spend his time in the shadows was cemented when WA  imported Adam Gilchrist from New South Wales to replace him.  It caused ructions in the state, where Zoehrer was a popular figure - Gilchrist was booed by the home supporters in his first few appearances - but his career was over.  He subsequently published a no-holds-barred - and slightly bitter - autobiography, "", '.\n', ' \n']",[],10.0,14,2,246.0,52*,20.5,581,42.34,0,1,30,2,18.0,1.0,22.0,15,3,130.0,50,10.83,183,71.03,0,1,9,0,21.0,2.0,0.0,,,0.0,,,,86.9,,,,,,,147.0,206,25,5348,168,29.54,,,7,27,,,423.0,38.0,72.0,49,14,786,83,22.45,,,0,4,,,85.0,6.0,,,,,,,,,,,,,,,10.0,-,-,-,0.0,-,-,35.33,-,-,-,-,-,22.0,-,-,-,0.0,-,-,32.91,-,-,-,-,-,0.0,,,,0.0,,,,7.05,,,,,147.0,,3487,1768,38,5/58,,46.52,3.04,91.7,,1,0,72.0,,36,30,0,-,-,-,5.00,-,0,0,0,,,,,,,,,,,,,,False,False,False,False
