ID,NAME,COUNTRY,Full name,Born,Died,Current age,Major teams,Education,Height,Nickname,Playing role,Batting style,Bowling style,Other,Relation,In a nutshell,DESCRIPTION,AWARDS,BATTING_Tests_Mat,BATTING_Tests_Inns,BATTING_Tests_NO,BATTING_Tests_Runs,BATTING_Tests_HS,BATTING_Tests_Ave,BATTING_Tests_BF,BATTING_Tests_SR,BATTING_Tests_100,BATTING_Tests_50,BATTING_Tests_4s,BATTING_Tests_6s,BATTING_Tests_Ct,BATTING_Tests_St,BATTING_ODIs_Mat,BATTING_ODIs_Inns,BATTING_ODIs_NO,BATTING_ODIs_Runs,BATTING_ODIs_HS,BATTING_ODIs_Ave,BATTING_ODIs_BF,BATTING_ODIs_SR,BATTING_ODIs_100,BATTING_ODIs_50,BATTING_ODIs_4s,BATTING_ODIs_6s,BATTING_ODIs_Ct,BATTING_ODIs_St,BATTING_T20Is_Mat,BATTING_T20Is_Inns,BATTING_T20Is_NO,BATTING_T20Is_Runs,BATTING_T20Is_HS,BATTING_T20Is_Ave,BATTING_T20Is_BF,BATTING_T20Is_SR,BATTING_T20Is_100,BATTING_T20Is_50,BATTING_T20Is_4s,BATTING_T20Is_6s,BATTING_T20Is_Ct,BATTING_T20Is_St,BATTING_First-class_Mat,BATTING_First-class_Inns,BATTING_First-class_NO,BATTING_First-class_Runs,BATTING_First-class_HS,BATTING_First-class_Ave,BATTING_First-class_BF,BATTING_First-class_SR,BATTING_First-class_100,BATTING_First-class_50,BATTING_First-class_4s,BATTING_First-class_6s,BATTING_First-class_Ct,BATTING_First-class_St,BATTING_List A_Mat,BATTING_List A_Inns,BATTING_List A_NO,BATTING_List A_Runs,BATTING_List A_HS,BATTING_List A_Ave,BATTING_List A_BF,BATTING_List A_SR,BATTING_List A_100,BATTING_List A_50,BATTING_List A_4s,BATTING_List A_6s,BATTING_List A_Ct,BATTING_List A_St,BATTING_T20s_Mat,BATTING_T20s_Inns,BATTING_T20s_NO,BATTING_T20s_Runs,BATTING_T20s_HS,BATTING_T20s_Ave,BATTING_T20s_BF,BATTING_T20s_SR,BATTING_T20s_100,BATTING_T20s_50,BATTING_T20s_4s,BATTING_T20s_6s,BATTING_T20s_Ct,BATTING_T20s_St,BOWLING_Tests_Mat,BOWLING_Tests_Inns,BOWLING_Tests_Balls,BOWLING_Tests_Runs,BOWLING_Tests_Wkts,BOWLING_Tests_BBI,BOWLING_Tests_BBM,BOWLING_Tests_Ave,BOWLING_Tests_Econ,BOWLING_Tests_SR,BOWLING_Tests_4w,BOWLING_Tests_5w,BOWLING_Tests_10,BOWLING_ODIs_Mat,BOWLING_ODIs_Inns,BOWLING_ODIs_Balls,BOWLING_ODIs_Runs,BOWLING_ODIs_Wkts,BOWLING_ODIs_BBI,BOWLING_ODIs_BBM,BOWLING_ODIs_Ave,BOWLING_ODIs_Econ,BOWLING_ODIs_SR,BOWLING_ODIs_4w,BOWLING_ODIs_5w,BOWLING_ODIs_10,BOWLING_T20Is_Mat,BOWLING_T20Is_Inns,BOWLING_T20Is_Balls,BOWLING_T20Is_Runs,BOWLING_T20Is_Wkts,BOWLING_T20Is_BBI,BOWLING_T20Is_BBM,BOWLING_T20Is_Ave,BOWLING_T20Is_Econ,BOWLING_T20Is_SR,BOWLING_T20Is_4w,BOWLING_T20Is_5w,BOWLING_T20Is_10,BOWLING_First-class_Mat,BOWLING_First-class_Inns,BOWLING_First-class_Balls,BOWLING_First-class_Runs,BOWLING_First-class_Wkts,BOWLING_First-class_BBI,BOWLING_First-class_BBM,BOWLING_First-class_Ave,BOWLING_First-class_Econ,BOWLING_First-class_SR,BOWLING_First-class_4w,BOWLING_First-class_5w,BOWLING_First-class_10,BOWLING_List A_Mat,BOWLING_List A_Inns,BOWLING_List A_Balls,BOWLING_List A_Runs,BOWLING_List A_Wkts,BOWLING_List A_BBI,BOWLING_List A_BBM,BOWLING_List A_Ave,BOWLING_List A_Econ,BOWLING_List A_SR,BOWLING_List A_4w,BOWLING_List A_5w,BOWLING_List A_10,BOWLING_T20s_Mat,BOWLING_T20s_Inns,BOWLING_T20s_Balls,BOWLING_T20s_Runs,BOWLING_T20s_Wkts,BOWLING_T20s_BBI,BOWLING_T20s_BBM,BOWLING_T20s_Ave,BOWLING_T20s_Econ,BOWLING_T20s_SR,BOWLING_T20s_4w,BOWLING_T20s_5w,BOWLING_T20s_10,is_test_ar,is_odi_ar,is_t20_ar,is_allrounder
1050037,Zumika Azmi,Malaysia,Zumika Azmi,"
June 19, 1998 ",,20 years 277 days,Malaysia Women,,,,,Right-hand bat,Right-arm offbreak,,,,[],[],0.0,,,0.0,,17.69,,,,,,,,,0.0,,,0.0,,14.47,,,,,,,,,11.0,10,4,44.0,17*,7.33,91,48.35,0,0,2,0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,35.33,,,,,,0.0,,,,0.0,,,32.91,,,,,,11.0,11,144,160,3.0,1/5,1/5,53.33,6.66,48.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
779601,Yusrina Yaakop,Malaysia,Yusrina Binti Yaakop,"
September 24, 1993 ",,25 years 180 days,Malaysia Women,,,,,Right-hand bat,,,,,[],[],0.0,,,0.0,,17.69,,,,,,,,,0.0,,,0.0,,14.47,,,,,,,,,19.0,19,1,198.0,38,11.00,326,60.73,0,0,14,0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,35.33,,,,,,0.0,,,,0.0,,,32.91,,,,,,19.0,-,-,-,0.0,-,-,-,7.05,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
1121354,Zhang Chan,China,Zhang Chan,"
November 7, 1997 ",,21 years 136 days,China Women,,,,,Right-hand bat,,,,,[],[],0.0,,,0.0,,17.69,,,,,,,,,0.0,,,0.0,,14.47,,,,,,,,,12.0,11,1,157.0,55,15.70,217,72.35,0,1,22,0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,35.33,,,,,,0.0,,,,0.0,,,32.91,,,,,,12.0,-,-,-,0.0,-,-,-,7.05,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
585083,Zeeshan Maqsood,Oman,Zeeshan Maqsood,"
October 24, 1987 ",,31 years 150 days,Oman,,,,Opening batsman,Left-hand bat,Slow left-arm orthodox,,,,[],[],0.0,,,0.0,,17.69,,,,,,,,,0.0,,,0.0,,14.47,,,,,,,,,16.0,15,0,368.0,52,24.53,315,116.82,0,1,49,8,2.0,0.0,,,,,,,,,,,,,,,8.0,7,0,236,70,33.71,244,96.72,0,2,30,5,4.0,0.0,27.0,26,2,663,86*,27.62,538,123.23,0,3,76,20,3.0,0.0,0.0,,,,0.0,,,35.33,,,,,,0.0,,,,0.0,,,32.91,,,,,,16.0,11,228,266,10.0,3/22,3/22,26.60,7.0,22.8,0,0,0,,,,,,,,,,,,,,8.0,8,184,128,6,4/14,4/14,21.33,4.17,30.6,1,0,0,27.0,19,353,423,20,4/23,4/23,21.15,7.18,17.6,1,0,0,False,False,False,False
24598,Eoin Morgan,England,Eoin Joseph Gerard Morgan,"
September 10, 1986, Dublin ",,32 years 194 days,"['England,', 'Ireland,', 'Bangalore Royal Challengers,', 'Barbados Tridents,', 'England A,', 'Ireland A,', 'Ireland Under-19s,', 'Karachi Kings,', 'Kings XI Punjab,', 'Kolkata Knight Riders,', 'Middlesex,', 'Middlesex 2nd XI,', 'Peshawar Zalmi,', ""Sir Paul Getty's XI,"", 'Sunrisers Hyderabad,', 'Sydney Thunder']",Catholic University School,"
5 ft 9 in ",,Middle-order batsman,Left-hand bat,Right-arm medium,,,,"[""\nEoin Morgan became England's ODI captain in slightly chaotic circumstances less than two months before the 2015 World Cup and was less than enamoured with an entirely inadequate campaign. What he observed - not just from his own side's lacklustre display, but the inspiration provided by Brendon McCullum's New Zealand side - convinced him an entirely new approach was necessary in England's cricket with a policy of No Fear (and No Retribution) at its heart. It required a man of strong will not just to say it, but to implement it, but Morgan did so, seeking to fashion a side that would play with courage and be impervious to pressure or criticism. \n"", 'The revival he led was dramatic. Going into the 2019 World Cup year, England were rated not only the No. 1 ODI side but had set a host of new records, including the two highest scores made in the format. Morgan, relentlessly committed to this bold style of play on good days and bad, was at the heart of the transformation.', ""Morgan's self-sufficiency and independent thought has caused him to tread a path that has not always been popular with English administrators. He preferred the IPL to county cricket long before it was ECB policy. Although he strove for a while to play for England in all three formats, he played the last of his 16 Tests in 2012 and his interest in the longer format appeared to wane once he recognised he had little chance of a recall. He didn't play any first-class cricket in 2016 or 2017 and averaged 11 when he returned for half-a-dozen games in 2018. A somewhat private man, he is respected by his players for his inner strength, cool temperament and tactical nous but remains largely a closed book to those outside the dressing room."", 'Once the selectors had decided to dispense with Alastair Cook just before Christmas in 2014, Morgan, the regular ODI deputy, was the most obvious candidate.  But his elevation coincided with one of his worst periods of form since switching to England from Ireland. A left-hander who quickly built a reputation for inventive and audacious strokeplay, Morgan also possessed the patience and power of shot to be a natural ""finisher"" - a role England had struggled to fill for a decade. In some ways, he was a prototype, encouraging the English game to adopt a more inventive approach only subsequently to face up to the challenge that he might be overtaken by more highly-powered models.', 'As a young man in Dublin, Morgan was recognised as a cricketer of rare unorthodox talent, who plays the ball exceptionally late and was adroit both at sweeping and reverse sweeping. Time at Dulwich College only hardened his desire to play for England, which he never tried to hide back in Ireland.', ""Morgan made his Ireland debut at the age of 16, making 99 against Scotland in Ayr, and was soon signed by Middlesex, who gave him his debut a week after his 19th birthday. He floundered in the 2007 World Cup: batting at No. 3, he made only 91 runs in nine games. But he soon established himself in the Middlesex line up, especially in limited overs cricket, and his switch to England was long anticipated. After securing Ireland's qualification for the 2011 World Cup, in April 2009, he was called up by England, thereby denying Ireland the chances to pick him in the World T20 and beyond."", ""At the age of 23, he shot to prominence on the back of two match-winning innings against South Africa. First was a 34-ball 67 in the Champions Trophy in September 2009, followed two months later with an unbeaten 45-ball 85 in the opening Twenty20 of England's tour of South Africa. His bold approach and crisp hitting evoked comparisons with Kevin Pietersen."", 'His growing stature was confirmed when he was the only England player to be awarded a new contract at the auction for the third season of the IPL in January 2010. He was signed for $220,000 by Bangalore, where he joined England team-mate Pietersen. But he failed to make an impression and was soon left on the bench. He returned to his best for England in the World Twenty20 in the Caribbean as his powerful shot-making and coolness under pressure helped England to their first triumph in global limited-overs events. With three ODI hundreds that year, his first for England coming against Bangladesh in Dhaka, his reputation was soaring.', ""Despite a modest first-class record he was rewarded with a surprise call-up to the Test side for England's first Test of the 2010 summer, against Bangladesh. Walking out to bat at 258 for 4, he could not have asked for a gentler introduction and showed enough confidence to pick up his first Test boundary with a reverse-sweep. With the retirement of Paul Collingwood, a permanent space opened up in England's Test side. Centuries against Pakistan (2010) and India (2011) represented the high points."", 'But a disastrous tour of the UAE in early 2012 effectively ended his Test career. With Joe Root making his debut before the end of the year, he never returned to the Test side.', ""He remained an indispensable member of the one-day side, though. And while there were prolonged fallow periods - from September 2012, for example, he went a year and 17 innings without an ODI half-century and, by the time he was appointed captain, he had scored one fifty in 19 innings - he produced enough outstanding innings (not least a match-defining century against Ireland) to retain his place. Going into the 2019 World Cup, he was England's record run-scorer in ODIs."", 'While his captaincy record at domestic level was not inspiring - Middlesex won five out of 22 limited-overs matches under him in 2014 - and the 2015 World Cup campaign was painfully poor, progress was fast once England embraced a new coaching regime (Peter Moores was sacked in May 2015) and bolder selections. A watershed series against New Zealand saw England, so hesitant and mediocre at the World Cup, pass 350 three times in 10 days in registering their highest ever ODI total (408-9; subsequently overtaken) and their highest ever second-innings total (365-9; also subsequently overtaken). A new template had been set.', ""Such was Morgan's statute within the side, he survived his decision to skip the Bangladesh tour in 2016 on security grounds - the players had been given a choice whether to tour, though the impression remained the management had rather hoped the captain would lead the way - and oversaw a spell of 12 bi-lateral series wins out of 13, including nine in a row broken only by an aberrational defeat against Scotland. If highlights were a 4-1 victory in Australia in early 2018 and a 5-0 whitewash at home later in the year, it was all a prelude to the 2019 World Cup which will surely define both his and his side's legacy.\n"", '\n', '\n']","['NBC Denis Compton Award 2003, 2004']",16.0,24,1,700.0,130,30.43,1278,54.77,2,3,77,6,11.0,0.0,217.0,203,29,6813.0,124*,39.15,7592,89.73,12,43,575,182,77.0,0.0,80.0,78,15,1753.0,85*,27.82,1347,130.14,0,9,131,78,35.0,0.0,99.0,164,16,4912,209*,33.18,9649,50.90,11,23,,,75.0,1.0,345.0,319,44,10667,161,38.78,11850,90.01,20,64,,,116.0,0.0,267.0,253,34,5595,90,25.54,4378,127.79,0,28,436,238,126.0,0.0,16.0,-,-,-,0.0,-,-,35.33,-,-,-,-,-,217.0,-,-,-,0.0,-,-,32.91,-,-,-,-,-,80.0,-,-,-,0.0,-,-,-,7.05,-,-,-,-,99.0,,102,90,2,2/24,2/24,45.00,5.29,51.0,0,0,0,345.0,,42,49,0,-,-,-,7.00,-,0,0,0,267.0,-,-,-,-,-,-,-,-,-,-,-,-,False,False,False,False
53904,Beth Morgan,England,Beth Louisa Morgan,"
September 27, 1981, Harrow, Middlesex ",,37 years 177 days,"['England Under-23 Women,', 'England Women,', 'Middlesex Women']",,,,,Right-hand bat,Right-arm medium-fast,,Uncle - ,,[],[],7.0,12,2,244.0,58,24.4,1140,21.40,0,1,29,0,1.0,0.0,72.0,50,6,590.0,77,13.4,1096,53.83,0,1,49,1,26.0,0.0,28.0,22,2,300.0,46*,15.00,307,97.71,0,0,22,1,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,14,1025,374,6.0,1/17,2/38,62.33,2.18,170.8,0,0,0,72.0,40,1360,960,27.0,3/19,3/19,35.55,4.23,50.3,0,0,0,28.0,6,82,104,5.0,2/8,2/8,20.80,7.6,16.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
16406,Michael Lumb,England,Michael John Lumb,"
February 12, 1980, Johannesburg, Transvaal, South Africa ",,39 years 39 days,"['England,', 'Deccan Chargers,', 'England Lions,', 'Hampshire,', 'Nottinghamshire,', 'Queensland,', 'Rajasthan Royals,', 'Sydney Sixers,', 'Yorkshire']",St Stithians College,"
6 ft 0 in ",,Top-order batsman,Left-hand bat,Right-arm medium,,Father - ,,"[""\nMichael Lumb was a fallible, but on his day a talented and highly destructive left-handed opener whose finest moment came as part of England's victorious squad in World Twenty20 in 2010. Lumb's confident strokeplay was not short of swagger and was just what England needed at the top of the order as they sought to bring more vigour to their short-form game. No respecter of tradition, he was also one of the first England cricketers to make unabashed calls for the ECB to introduce a city-based Twenty20 tournament.  \n"", ""Lumb, the son of prolific Yorkshire opener Richard Lumb, was born in South Africa and made his way through the junior teams in Transvaal before returning to his roots to play for Yorkshire. A hard-hitting batsman, he made his county debut in 2000, scoring 66 not out against the touring Zimbabweans. A knee injury in 2001 meant that he played only a small part in Yorkshire's success in winning the county championship that year, although he did record a maiden first-class hundred against Leicestershire. In doing so he became part of only the fourth father and son pair to score centuries for Yorkshire."", ""He made progress in 2002 by becoming a regular member of both the Championship and limited-overs sides and in 2003 scored close to a thousand first-class runs at an average of over 40, including two centuries and six fifties. He was selected for the ECB National Academy squad the following winter, but has failed to progress to Yorkshire's expectations and was dropped during the 2005 season.  Although he averaged in the middle-thirties in 2006 with a top score of 144 he decided to leave at the end of the season and joined Hampshire."", 'The move galvanised his career, and his prolific Twenty20 form in 2009, where he made 442 runs from 11 games as Hampshire won the Friends Provident Trophy, including a blistering unbeaten 124 from 69 balls against Essex, earned him a $50,000 IPL contract with Rajasthan Royals.  It proved to be the launch-pad to higher achievements.', ""On the back of an unbeaten 58 to guide England Lions to victory against the senior team in a warm-up match in Dubai, he was called in as the latest incarnation of England's Twenty20 specialist opener for the World Twenty20 in Caribbean in May 2010. His selection was a revelation as, despite a top score of 33, he routinely muscled brisk starts which set the tone that carried England to their first ever triumph in a global limited-overs event."", ""Injury disrupted his 2011 season, the final year of his contract  with Hampshire, but he was identified by Nottinghamshire as batsman who could bolster an unreliable top order in four-day cricket and director of cricket Mick Newell, who remembered Lumb's career-best Championship score of 219 against Nottinghamshire at Trent Bridge in 2010, signed him on a three-year contract. "", 'His debut season for Nottinghamshire yielded more than 1,400 runs across all formats, including 910 in the Championship.  Although he did not make the starting XI in any of their matches, Lumb regained his place in the England Twenty20 squad in time for the defence of the World Twenty20 before playing a starring role for Sydney Sixers in the Champions League in South Africa, hitting an unbeaten 82 off 42 balls as the Australian franchise beat Lions by 10 wickets in the final.', 'Suspicions that Lumb might increasingly become a T20 specialist were confounded in 2013 when he returned more than 1,000 Championship runs. He skipped the IPL auction in 2014, saying he had ""ticked that box"" but England - and Sydney - retained an interest in his T20 skills and he was named in England\'s squad for World T20 in Bangladesh.', 'Lumb teamed up with Riki Wessels in 2016 to set what was a new record stand for a List A game in England: 342 in 39.2 overs in a Royal London Cup game against Northants at Trent Bridge, beating the 318 amassed by India\'s Rahul Dravid and Sourav Ganguly against Sri Lanka in Taunton in the 1999 World Cup. Lumb, who made 184, commented that it was one of those days ""when the stars were all aligned"". Nottinghamshire\'s 445 for 8 in their 50 overs was the second highest total in List A matches worldwide at the time. Astonishingly, despite being stricken by injuries, Northants got within 20 runs. Lumb also hit the mark with a 17-ball T20 50 against Leicestershire, one of the fastest in Notts\' history, but his poor Championship form had much in keeping with a Notts relegation season.', ""Lumb's final summer came in Notts' triumphant 2017 season when they added promotion in the Championship to both limited-overs trophies. He was part of the Notts side that beat Surrey in the Royal London Cup final at Lord's, but then retired later that month because of an ankle injury. \n \n"", '\n']",[],0.0,,,0.0,,17.69,,,,,,,,,3.0,3,0,165.0,106,55.0,203,81.28,1,0,12,3,1.0,0.0,27.0,27,1,552.0,63,21.23,413,133.65,0,3,64,21,8.0,0.0,210.0,352,18,11443,221*,34.26,,,21,58,,,118.0,0.0,221.0,213,11,6623,184,32.78,7614,86.98,8,44,,,72.0,0.0,221.0,219,12,4972,124*,24.01,3605,137.91,1,26,597,176,72.0,0.0,0.0,,,,0.0,,,35.33,,,,,,3.0,-,-,-,0.0,-,-,32.91,-,-,-,-,-,27.0,-,-,-,0.0,-,-,-,7.05,-,-,-,-,210.0,,342,260,6,2/10,,43.33,4.56,57.0,0,0,0,221.0,,12,28,0,-,-,-,14.00,-,0,0,0,221.0,3,36,65,3,3/32,3/32,21.66,10.83,12.0,0,0,0,False,False,False,False
379504,Adam Zampa,Australia,Adam Zampa,"
March 31, 1992, Shellharbour, New South Wales ",,26 years 357 days,"['Adelaide Strikers,', 'East Torrens,', 'Guyana Amazon Warriors,', 'Jamaica Tallawahs,', 'Melbourne Stars,', 'New South Wales,', 'New South Wales Under-19s,', 'Rising Pune Supergiants,', 'South Australia,', 'Sydney Thunder']",,,,Bowler,Right-hand bat,Legbreak googly,,,,"[""\nA legspinner with a run-up and action resembling that of Shane Warne, Adam Zampa emerged in Australia's ODI and T20 squads in 2016 after a successful summer for South Australia and the Melbourne Stars. In T20 especially he has proven a hard man to get away, with subtle changes of pace and variations including a wrong'un and straight ball making up for a lack of prodigious turn.  \n"", ""At the 2016 World T20 in India, no Australian bowler took more wickets during the tournament than Zampa's five at 13.80 at an economy rate of 6.27. In the IPL that followed, he claimed what was the second-best figures in the tournament's history when he took 6 for 19 for Rising Pune Supergiants, albeit in a losing cause against Sunrisers Hyderabad."", ""His challenge is to prove that he can also be a force at first-class level. Zampa's father Darren played for New South Wales Country and Zampa also began his career in his home state, debuting for New South Wales in 2012-13 before moving to South Australia the following year.""]",[],0.0,,,0.0,,17.69,,,,,,,,,40.0,18,4,99.0,22,7.07,156,63.46,0,0,6,1,9.0,0.0,22.0,6,4,23.0,9,11.50,26,88.46,0,0,2,0,1.0,0.0,36.0,59,7,1118,74,21.50,1567,71.34,0,6,123,14,9.0,0.0,74.0,45,10,562,66,16.05,577,97.40,0,3,57,15,17.0,0.0,115.0,40,17,138,17*,6.00,155,89.03,0,0,11,2,15.0,0.0,0.0,,,,0.0,,,35.33,,,,,,40.0,40,2050,1910,53.0,3/16,3/16,36.03,5.59,38.6,0,0,0,22.0,21,444,447,23.0,3/16,3/16,19.43,6.04,19.3,0,0,0,36.0,63,7348,4804,102,6/62,10/119,47.09,3.92,72.0,3,2,1,74.0,73,3941,3517,106,4/18,4/18,33.17,5.35,37.1,3,0,0,115.0,112,2319,2780,127,6/19,6/19,21.88,7.19,18.2,0,1,0,False,False,False,False
358259,Heather Knight,England,Heather Clare Knight,"
December 26, 1990, Plymouth ",,28 years 87 days,"['Diamonds,', 'England Academy Women,', 'England Women,', 'Rubies']",,,,Middle-order batsman,Right-hand bat,Right-arm offbreak,,,,"[""\nHeather Knight was left with big shoes to fill when she was named England captain in June 2016 following the retirement of Charlotte Edwards. It was, though, a natural progression for Knight who had been Edwards' vice-captain since 2014 and had built captaincy experience with Berkshire in county cricket and Hobart Hurricanes in the WBBL. \n"", ""Knight, a top-order batsman who has latterly developed her offspin into a very handy second string, having initially bowled medium pace before a serious hamstring injury, had become a regular presence in England's top order since making her debut in 2010."", 'Her Test debut came a year later, against Australia in Sydney, and it is the longest format that includes her stand-out international performance to date. Facing Australia again, in 2013 at Wormsley, Knight scored 157 in a near seven-hour stay in the middle which helped England secure a draw and they would ultimately regain the Ashes.', '\n', '\n']",[],6.0,12,1,358.0,157,32.54,865,41.38,1,2,43,0,6.0,0.0,92.0,88,21,2503.0,106,37.35,3596,69.60,1,17,226,13,31.0,0.0,56.0,49,12,642.0,51,17.35,581,110.49,0,1,64,8,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5,179,80,2.0,1/7,1/7,40.0,2.68,89.5,0,0,0,92.0,43,1535,1101,44.0,5/26,5/26,25.02,4.30,34.8,1,1,0,56.0,26,399,384,17.0,3/9,3/9,22.58,5.77,23.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
230855,Craig Kieswetter,England,Craig Kieswetter,"
November 28, 1987, Johannesburg, Transvaal ",,31 years 115 days,"['England,', 'England Lions,', 'Somerset,', 'South Africa Under-19s']","Millfield School, Bishops (Diocesan College)",,,Opening batsman,Right-hand bat,Right-arm offbreak,,,,"['\nLike a number of players before him, Craig Kieswetter, a hard-hitting wicketkeeper-batsman, chose England ahead of South Africa. He joined Somerset when he was 18 and made his international debut four years later, little more than a week after qualifying for England. He was briefly England\'s answer at the top of the order, helping them win the 2010 World Twenty20 and rise up the one-day rankings. But his form stuttered and he was dropped after the India tour in January 2013. He returned to the squad at the 2014 World T20 but failed to add to his 46 one-day internationals and 25 T20Is. During the subsequent English season, he suffered a sickening blow in the face, breaking his nose and damaging his eye socket while batting against Northants when a delivery from David Willey burst through his grille. It forced him into retirement in June 2015 as he conceded defeat to impaired vision and what he indicated was psychological trauma. ""I feel I will never be mentally the player I was,"" he said. \n', 'He played for South Africa at the 2006 Under-19 World Cup before coming to Millfield School. He made his Somerset first-team debut in April 2007, scoring 69 not out off 58 balls and taking a catch his coach described as ""world class"". The batsmen-friendly conditions at Taunton aided his attacking instincts and in the 2009 English season, his last before he qualified, he scored 1,242 runs at a 59.14 in the County Championship as well as averaging almost 50 in one-day cricket.', 'The selectors, who had been watching for some time, rewarded him with a place on the Lions tour of UAE although Geoff Miller did caution that England ""had to be careful about the number of South Africans in the side"". Yet Kieswetter was undeterred and repeated his allegiance to England when Graeme Smith said he\'d like to him to come back to South Africa.', ""The day after he became eligible for England in February 2010 he hit 81 against the senior side in Abu Dhabi, enough to earn a rapid elevation to the full squad for Bangladesh where his first innings of the tour was the small matter of 143. It was a promising sign. He made a century in his third ODI, against Bangladesh before playing a crucial role in delivering England's first ever global limited-overs success in the World Twenty20. Alongside Michael Lumb, Kieswetter powered England to aggressive starts, making 222 runs in the tournament, the fourth-highest tally, including a Man-of-the-Match winning 63 in the final against Australia."", 'But that proved his high water mark. In his next 18 T20s for England, Kieswetter made only two half-centuries and was eventually dropped for the crucial World T20 tie against Sri Lanka in 2012. Jos Buttler, his county team-mate, took his place and Buttler eventually usurped him from the ODI side too.', 'In 2013, a battle ensued between Kieswetter and Buttler for the gloves at Somerset but Kieswetter did enough to earn the No. 1 slot with over 500 runs in the Friends Life t20 - form that earned him a deal in the Australian Big Bash League - an average of 56.80 in the Yorkshire Bank 40 and 31.89 in first-class cricket. Buttler left for Lancashire at the end of the season.', ""Kieswetter initially thrived in the ODI side, averaging 51.00 in the five-match series at home to Sri Lanka in 2011 but in his next 23 innings made only two half-centuries. Struggling in India could be forgiven and he didn't get too many chances in subsequent series that England dominated against Pakistan and Australia as he was moved down the order. But with his wicketkeeping not the sharpest, the calls for change grew after a top score of 33 in four innings against South Africa. He went back to India in January 2013 but was dropped for the final two ODIs and was then left out of the tour to New Zealand under new one-day coach Ashley Giles."", 'He had initially hoped to fully recover from his injury, sustained when struck by a short delivery from Willey. He returned at the end of 2015 season and then went to play domestic T20 in South Africa, but struggled with the after-effects of the injury and announced he would not be playing the 2015 English season.', '""I realise I am one of those lucky people who earns a living doing something they truly love,"" he said. ""It\'s the game I fell in love with as a kid. A lot of players forget that perspective check.""\n', '\n', '\n']","['NBC Denis Compton Award 2007, 2008, 2009']",0.0,,,0.0,,17.69,,,,,,,,,46.0,40,5,1054.0,107,30.11,1172,89.93,1,5,106,32,53.0,12.0,25.0,25,1,526.0,63,21.91,470,111.91,0,3,47,23,17.0,3.0,115.0,171,25,5728,164,39.23,,,11,31,,,331.0,12.0,134.0,124,16,4254,143,39.38,4469,95.18,11,17,433,126,136.0,26.0,124.0,121,15,3367,89*,31.76,2753,122.30,0,29,317,119,76.0,21.0,0.0,,,,0.0,,,35.33,,,,,,46.0,-,-,-,0.0,-,-,32.91,-,-,-,-,-,25.0,-,-,-,0.0,-,-,-,7.05,-,-,-,-,115.0,3,54,29,2,2/3,2/3,14.50,3.22,27.0,0,0,0,134.0,1,12,19,1,1/19,1/19,19.00,9.50,12.0,0,0,0,124.0,-,-,-,-,-,-,-,-,-,-,-,-,False,False,False,False
